,precision,recall,f1-score,support
330,1.0,1.0,1.0,19.0
331,1.0,1.0,1.0,18.0
333,0.4857142857142857,0.5151515151515151,0.5,33.0
334,0.6923076923076923,0.6923076923076923,0.6923076923076923,13.0
335,1.0,1.0,1.0,12.0
336,1.0,1.0,1.0,20.0
337,1.0,1.0,1.0,12.0
338,1.0,0.875,0.9333333333333333,8.0
340,1.0,1.0,1.0,12.0
341,1.0,1.0,1.0,10.0
342,0.8666666666666667,0.8125,0.8387096774193549,16.0
343,1.0,1.0,1.0,17.0
344,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
345,0.5384615384615384,0.7,0.6086956521739131,10.0
346,1.0,1.0,1.0,14.0
347,1.0,1.0,1.0,11.0
348,0.84375,0.9,0.8709677419354839,30.0
349,1.0,0.9285714285714286,0.9629629629629629,14.0
350,1.0,1.0,1.0,11.0
352,0.9285714285714286,0.7222222222222222,0.8125,18.0
353,1.0,0.9047619047619048,0.95,21.0
354,1.0,1.0,1.0,16.0
355,1.0,0.8666666666666667,0.9285714285714286,15.0
356,0.8529411764705882,0.90625,0.8787878787878788,32.0
357,1.0,0.9375,0.967741935483871,16.0
358,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
359,0.6428571428571429,0.5625,0.6,16.0
360,0.782608695652174,0.6666666666666666,0.72,27.0
361,0.5263157894736842,1.0,0.6896551724137931,10.0
362,0.8181818181818182,0.6428571428571429,0.72,14.0
363,1.0,1.0,1.0,15.0
364,1.0,1.0,1.0,20.0
365,1.0,1.0,1.0,14.0
366,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
367,0.9,1.0,0.9473684210526315,9.0
368,1.0,1.0,1.0,20.0
369,1.0,0.4444444444444444,0.6153846153846154,18.0
371,0.5833333333333334,0.9333333333333333,0.717948717948718,15.0
372,0.8571428571428571,0.9230769230769231,0.8888888888888888,13.0
373,1.0,0.75,0.8571428571428571,8.0
374,1.0,1.0,1.0,14.0
375,0.5714285714285714,0.6666666666666666,0.6153846153846154,12.0
376,1.0,0.9,0.9473684210526315,10.0
377,1.0,1.0,1.0,16.0
378,1.0,1.0,1.0,11.0
379,0.8571428571428571,1.0,0.9230769230769231,6.0
380,1.0,1.0,1.0,10.0
381,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0
382,0.8,1.0,0.8888888888888888,8.0
383,1.0,1.0,1.0,11.0
384,0.75,0.75,0.75,12.0
385,0.9333333333333333,0.7777777777777778,0.8484848484848485,18.0
386,1.0,1.0,1.0,6.0
387,0.5625,0.6428571428571429,0.6,14.0
388,0.6363636363636364,0.5384615384615384,0.5833333333333334,13.0
